title,link,snippet
Shifted Window Based Self-Attention via Swin Transformer for Zero-Shot Learning,https://publications.waset.org/10013271/shifted-window-based-self-attention-via-swin-transformer-for-zero-shot-learning,"Generalised Zero-Shot Learning, often known as GZSL, is an advanced variant of zero-shot learning in which the samples in the unseen category may be either seen or unseen. GZSL …"
Integrating Noisy Knowledge into Language Representations for E-Commerce Applications,https://ieeexplore.ieee.org/abstract/document/10386615/,Integrating structured knowledge into language model representations increases recall of domain-specific information useful for downstream tasks. Matching between knowledge …
Knowledge Relevance BERT: Integrating Noisy Knowledge into Language Representations,https://knowledge-nlp.github.io/aaai2023/papers/005-KRBERT-oral.pdf,Integrating structured knowledge into language model representations increases recall of domain-specific information useful for downstream tasks. Matching between knowledge …
実世界へ挑む機械学習,http://www.nlab.ci.i.u-tokyo.ac.jp/pdf/ieice2021ml.pdf,"現在の機械学習の成功を支える中心的なアプローチである教師あり学習では, 対象とするタスクの入出力関係を網羅した大規模なラベル付き訓練データセットの存在を前提とする …"
